Raga Name Raw,raaga,AAROHANAM,AVAROHANAM,Melakarta,Melakarta Name,path,value
62 Riśabhapriyā,Riśabhapriyā,S R2 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 R2 S,1.0,Riśabhapriyā,S-R2-G3-M2-P-D1-N2-S,1
63 Latāngi,Latāngi,S R2 G3 M2 P D1 N3 S,S N3 D1 P M2 G3 R2 S,1.0,Latāngi,S-R2-G3-M2-P-D1-N3-S,1
64 Vāchaspati,Vāchaspati,S R2 G3 M2 P D2 N2 S,S N2 D2 P M2 G3 R2 S,1.0,Vāchaspati,S-R2-G3-M2-P-D2-N2-S,1
65 Mechakalyāni,Mechakalyāni,S R2 G3 M2 P D2 N3 S,S N3 D2 P M2 G3 R2 S,1.0,Mechakalyāni,S-R2-G3-M2-P-D2-N3-S,1
66 Chitrāmbari,Chitrāmbari,S R2 G3 M2 P D3 N3 S,S N3 D3 P M2 G3 R2 S,1.0,Chitrāmbari,S-R2-G3-M2-P-D3-N3-S,1
67 Sucharitrā,Sucharitrā,S R3 G3 M2 P D1 N1 S,S N1 D1 P M2 G3 R3 S,1.0,Sucharitrā,S-R3-G3-M2-P-D1-N1-S,1
68 Jyothisvarūpiṇi,Jyothisvarūpiṇi,S R3 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 R3 S,1.0,Jyothisvarūpiṇi,S-R3-G3-M2-P-D1-N2-S,1
69 Dhātuvardhani,Dhātuvardhani,S R3 G3 M2 P D1 N3 S,S N3 D1 P M2 G3 R3 S,1.0,Dhātuvardhani,S-R3-G3-M2-P-D1-N3-S,1
70 Nāsikābhūśaṇi,Nāsikābhūśaṇi,S R3 G3 M2 P D2 N2 S,S N2 D2 P M2 G3 R3 S,1.0,Nāsikābhūśaṇi,S-R3-G3-M2-P-D2-N2-S,1
71 Kōsalam,Kōsalam,S R3 G3 M2 P D2 N3 S,S N3 D2 P M2 G3 R3 S,1.0,Kōsalam,S-R3-G3-M2-P-D2-N3-S,1
72 Rasikapriyā,Rasikapriyā,S R3 G3 M2 P D3 N3 S,S N3 D3 P M2 G3 R3 S,1.0,Rasikapriyā,S-R3-G3-M2-P-D3-N3-S,1
